,Pseudocode,Description,Label
0,"minSum assign to integer with minSum assign to A, N assign to map, integer assign to mp assign to integer assign to mp
create integer sum with sum assign to 0
untill i assign to 0 to N exclusive, add A array of i   to sum
increment mp array of A array of i  
minSum assign to integer with minSum assign to INT_MAX
untill auto it : mp, minSum assign to min ( minSum, sum - ( it. first * it. second ) )
return minSum
declare integer main ( ), integer arr array of   assign to  4, 5, 6, 6  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print minSum ( arr, N ) and "" STRNEWLINE ""
","Minimum sum possible by removing all occurrences of any array element 
 C ++ program untill the above approach ; Function to find minimum sum after deletion ; Stores frequency of array elements ; Traverse the array ; Calculate sum ; Update frequency of the current element ; Stores the minimum sum required ; Traverse map ; Find the minimum sum obtained ; Return minimum sum ; Driver code ; Input array ; Size of array
",1
1,"minSum assign to integer with minSum assign to A, N assign to map, integer assign to mp assign to integer assign to mp
create integer sum with sum assign to 0
untill i assign to 0 to N exclusive, add A array of i   to sum
increment mp array of A array of i  
minSum assign to integer with minSum assign to INT_MAX
untill auto it : mp, minSum assign to min ( minSum, sum - ( it. first * it. second ) )
return minSum
declare integer main ( ), integer arr array of   assign to  4, 5, 6, 6  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
print minSum ( arr, N ) and "" STRNEWLINE ""
","Minimum operations to make frequency of all characters equal K 
 C ++ program to convert the given string ; Function to find the minimum number of operations to convert the given string ; Check if N is divisible by K ; Array to store frequency of characters in given string ; Two arrays with number of operations required ; Checking untill all possibility ; Driver Code
",0
2,"declare maxAdjacent with integers arr, N as arguments, returning void, returning vector, returning integer, with res assign to res
untill i assign to 1 to N - 1 exclusive, prev assign to arr array of 0  
create integer maxi with maxi assign to INT_MIN
untill j assign to 1 to N exclusive, if i is j, continue
set maxi to max ( maxi, abs ( arr array ofj   - prev ) ) )
set prev to arr array ofj  
push_back is a new line in res
print x and "" "" to the standard output
print newline
declare integer main ( ), integer arr array of   assign to  1, 3, 4, 7, 8  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
let maxAdjacent be a maxAdjacent ( arr, N )
","Maximum difference between a pair of adjacent elements by excluding every element once 
 C ++ program untill the above approach ; Function to calculate maximum difference between adjacent elements excluding every array element once ; Traverse the array ; Stores the maximum diff ; Check untill maximum adjacent element ; Exclude current element ; Update maximum difference ; Update previous value ; Append the result into a vector ; Print the result ; Driver Code
",1
3,"declare maxAdjacent with integers arr, N as arguments, returning void, returning vector, returning integer, with res assign to res
untill i assign to 1 to N - 1 exclusive, prev assign to arr array of 0  
create integer maxi with maxi assign to INT_MIN
untill j assign to 1 to N exclusive, if i is j, continue
set maxi to max ( maxi, abs ( arr array ofj   - prev ) ) )
set prev to arr array ofj  
push_back is a new line in res
print x and "" "" to the standard output
print newline
declare integer main ( ), integer arr array of   assign to  1, 3, 4, 7, 8  ;
create integer N with N assign to sizeof ( arr ) / sizeof ( arr array of 0   )
let maxAdjacent be a maxAdjacent ( arr, N )
","Number of Paths of Weight W in a K 
 C ++ program to count the number of paths with weight W in a K - ary tree ; Function to return the number of ways having weight as wt in K - ary tree ; Return 0 if weight becomes less than zero ; Return one only if the current path has included edge weight of atleast M ; If the current edge weight is greater than or equal to M , set used as true ; Driver Code to test above function
",0
4,"declare findSize with integer N if N is 0, return 1
if N is 1 return 1
Size assign to 2 * findSize ( N / 2 ) + 1
return Size
return 0 if L is greater than R
if N assign to 1 return N
ret assign to integer with ret assign to 0
create integer M with M assign to N / 2
Siz_M assign to integer with Siz_M assign to findSize ( M)
if L assign to Siz_M, increment ret by CountOnes ( N / 2, L, min ( Siz_M, R ) )
if L assign to Siz_M + 1 and Siz_M + 1 assign to R, increment ret by N % 2
if Siz_M + 1 is less than R, increment ret by CountOnes ( N / 2, max ( 1, L - Siz_M - 1 ), R - Siz_M - 1 )
return ret
declare integer main ( ), integers N assign to 7, L assign to 2 and R assign to 5
print CountOnes ( N, L, R )
return 0
","Count 1 s present in a range of indices array of L , R   in a given array 
 C ++ Program to implement the above approach ; Function to find the size of the array if the array initially contains a single element ; Base case ; P / 2 -> findSize ( N / 2 ) P % 2 -> 1 P / 2 -> findSize ( N / 2 ) ; Function to return the count of 1 s in the range array of L , R   ; Base Case ; PART 1 -> N / 2 array of 1 , Siz_M   ; Update the right end point of the range to min ( Siz_M , R ) ; PART 2 -> N % 2 array of SizM + 1 , Siz_M + 1   ; PART 3 -> N / 2 array of SizM + 2 , 2 * Siz_M - 1   Same as PART 1 Property of Symmetricity Shift the coordinates according to PART 1 Subtract ( Siz_M + 1 ) from both L , R ; Driver Code ; Input ; Counts the number of 1 's in  the range array ofL, R 
",1
5,"declare findSize with integer N if N is 0, return 1
if N is 1 return 1
Size assign to 2 * findSize ( N / 2 ) + 1
return Size
return 0 if L is greater than R
if N assign to 1 return N
ret assign to integer with ret assign to 0
create integer M with M assign to N / 2
Siz_M assign to integer with Siz_M assign to findSize ( M)
if L assign to Siz_M, increment ret by CountOnes ( N / 2, L, min ( Siz_M, R ) )
if L assign to Siz_M + 1 and Siz_M + 1 assign to R, increment ret by N % 2
if Siz_M + 1 is less than R, increment ret by CountOnes ( N / 2, max ( 1, L - Siz_M - 1 ), R - Siz_M - 1 )
return ret
declare integer main ( ), integers N assign to 7, L assign to 2 and R assign to 5
print CountOnes ( N, L, R )
return 0
","Count subarrays having sum modulo K same as the length of the subarray 
 C ++ program of the above approach ; Function that counts the subarrays s . t . sum of elements in the subarray modulo k is equal to size of subarray ; Stores the count of ( pref array of i   - i ) % k ; Stores the count of subarray ; Stores prefix sum of the array ; Find prefix sum array ; Base Condition ; Remove the index at present after K indices from the current index ; Update the answer untill subarrays ending at the i - th index ; Add the calculated value of current index to count ; Print the count of subarrays ; Driver Code ; Given arr array of   ; Size of the array ; Given K ; Function Call
",0
6,"return false if n is 1
untill i assign to 2 to i * i assign to n, return false if n modulo i is 0
return true
if prime ( n ) ), print 1 print "" "" print n - 1
else print if n modulo i is 0, print n / i print "" "" print n / i * ( i - 1)
break loop
declare integer variable N assign to 4
minDivisior ( N )
return 0
","Find the pair ( a , b ) with minimum LCM such that their sum is equal to N 
 C ++ program untill the above approach ; Function to check if number is prime or not ; As 1 is neither prime nor composite return false ; Check if it is divided by any number then it is not prime , return false ; Check if n is not divided by any number then it is prime and hence return true ; Function to find the pair ( a , b ) such that sum is N & LCM is minimum ; Check if the number is prime ; Now , if it is not prime then find the least divisior ; Check if divides n then it is a factor ; Required output is a assign to n / i & b assign to n / i * ( n - 1 ) ; Driver Code ; Function call
",1
7,"return false if n is 1
untill i assign to 2 to i * i assign to n, return false if n modulo i is 0
return true
if prime ( n ) ), print 1 print "" "" print n - 1
else print if n modulo i is 0, print n / i print "" "" print n / i * ( i - 1)
break loop
declare integer variable N assign to 4
minDivisior ( N )
return 0
","Count of subarrays having sum equal to its length 
 Set 2 
 C ++ program untill the above approach ; Function that counts the subarrays with sum of its elements as its length ; Store count of elements upto current element with length i ; Stores the final count of subarray ; Stores the prefix sum ; If size of subarray is 1 ; Iterate the array ; Find the sum ; Update frequency in map ; Print the total count ; Driver Code ; Given array arr array of   ; Size of array ; Function Call
",0
8,"Landau assign to integer with Landau assign to INT_MIN
gcd assign to integer if a is equal to 0, return b
return gcd ( b modulo a, a )
lcm assign to integer, return ( a * b ) / gcd assign to a, b )
create void findLCM ( vector  int > & arr ), nth_lcm assign to arr array of 0  
untill i assign to 1 to size of arr exclusive, set nth_lcm to lcm ( nth_lcm, arr array of i   )
Landau assign to max ( Landau, nth_lcm )
void function findWays ( vector  int > & arr, int i, int n) if n is 0, findLCM (arr)
untill j assign to i to n inclusive, push_back j is a new line
findWays assign to arr,j,n-j
pop_back is a new array of arr
declare Landau_function with integer n as argument, assign a vector to integers > arr
findWays assign to arr, 1, n
print Landau
declare integer main ( ) and integer N assign to 4
declare Landau_function with N elements
return 0
","Find Landau 's function untill a given number N 
 C ++ program untill the above approach ; To store Landau 's function of the number ; Function to return gcd of 2 numbers ; Function to return LCM of two numbers ; Function to find max lcm value among all representations of n ; Calculate Landau 's value ; Recursive function to find different ways in which n can be written as sum of atleast one positive integers ; Check if sum becomes n , consider this representation ; Start from previous element in the representation till n ; Include current element from representation ; Call function again with reduced sum ; Backtrack - remove current element from representation ; Function to find the Landau 's function ; Using recurrence find different ways in which n can be written as a sum of atleast one + ve integers ; Print the result ; Driver Code ; Given N ; Function Call
",1
9,"Landau assign to integer with Landau assign to INT_MIN
gcd assign to integer if a is equal to 0, return b
return gcd ( b modulo a, a )
lcm assign to integer, return ( a * b ) / gcd assign to a, b )
create void findLCM ( vector  int > & arr ), nth_lcm assign to arr array of 0  
untill i assign to 1 to size of arr exclusive, set nth_lcm to lcm ( nth_lcm, arr array of i   )
Landau assign to max ( Landau, nth_lcm )
void function findWays ( vector  int > & arr, int i, int n) if n is 0, findLCM (arr)
untill j assign to i to n inclusive, push_back j is a new line
findWays assign to arr,j,n-j
pop_back is a new array of arr
declare Landau_function with integer n as argument, assign a vector to integers > arr
findWays assign to arr, 1, n
print Landau
declare integer main ( ) and integer N assign to 4
declare Landau_function with N elements
return 0
","Distance between two parallel Planes in 3 
 C ++ program to find the Distance between two parallel Planes in 3 D . ; Function to find distance ; Driver Code
",0
