,Pseudocode,Description,Label
0,"minSum = integer with minSum = A, N = map, integer = mp = integer = mp
create integer sum with sum = 0
for i = 0 to N exclusive, add A [ i ] to sum
increment mp [ A [ i]]
minSum = integer with minSum = INT_MAX
for auto it : mp, minSum = min ( minSum, sum - ( it. first * it. second ) )
return minSum
declare integer main ( ), integer arr [ ] =  4, 5, 6, 6  ;
create integer N with N = sizeof ( arr ) / sizeof ( arr [ 0 ] )
print minSum ( arr, N ) and "" STRNEWLINE ""
","Minimum sum possible by removing all occurrences of any array element | C ++ program for the above approach ; Function to find minimum sum after deletion ; Stores frequency of array elements ; Traverse the array ; Calculate sum ; Update frequency of the current element ; Stores the minimum sum required ; Traverse map ; Find the minimum sum obtained ; Return minimum sum ; Driver code ; Input array ; Size of array
",1
1,"minSum = integer with minSum = A, N = map, integer = mp = integer = mp
create integer sum with sum = 0
for i = 0 to N exclusive, add A [ i ] to sum
increment mp [ A [ i]]
minSum = integer with minSum = INT_MAX
for auto it : mp, minSum = min ( minSum, sum - ( it. first * it. second ) )
return minSum
declare integer main ( ), integer arr [ ] =  4, 5, 6, 6  ;
create integer N with N = sizeof ( arr ) / sizeof ( arr [ 0 ] )
print minSum ( arr, N ) and "" STRNEWLINE ""
","Minimum operations to make frequency of all characters equal K | C ++ program to convert the given string ; Function to find the minimum number of operations to convert the given string ; Check if N is divisible by K ; Array to store frequency of characters in given string ; Two arrays with number of operations required ; Checking for all possibility ; Driver Code
",0
2,"declare maxAdjacent with integers arr, N as arguments, returning void, returning vector, returning integer, with res = res
for i = 1 to N - 1 exclusive, prev = arr [ 0 ]
create integer maxi with maxi = INT_MIN
for j = 1 to N exclusive, if i is j, continue
set maxi to max ( maxi, abs ( arr [j ] - prev ) ) )
set prev to arr [j ]
push_back is a new line in res
print x and "" "" to the standard output
print newline
declare integer main ( ), integer arr [ ] =  1, 3, 4, 7, 8  ;
create integer N with N = sizeof ( arr ) / sizeof ( arr [ 0 ] )
let maxAdjacent be a maxAdjacent ( arr, N )
","Maximum difference between a pair of adjacent elements by excluding every element once | C ++ program for the above approach ; Function to calculate maximum difference between adjacent elements excluding every array element once ; Traverse the array ; Stores the maximum diff ; Check for maximum adjacent element ; Exclude current element ; Update maximum difference ; Update previous value ; Append the result into a vector ; Print the result ; Driver Code
",1
3,"declare maxAdjacent with integers arr, N as arguments, returning void, returning vector, returning integer, with res = res
for i = 1 to N - 1 exclusive, prev = arr [ 0 ]
create integer maxi with maxi = INT_MIN
for j = 1 to N exclusive, if i is j, continue
set maxi to max ( maxi, abs ( arr [j ] - prev ) ) )
set prev to arr [j ]
push_back is a new line in res
print x and "" "" to the standard output
print newline
declare integer main ( ), integer arr [ ] =  1, 3, 4, 7, 8  ;
create integer N with N = sizeof ( arr ) / sizeof ( arr [ 0 ] )
let maxAdjacent be a maxAdjacent ( arr, N )
","Number of Paths of Weight W in a K | C ++ program to count the number of paths with weight W in a K - ary tree ; Function to return the number of ways having weight as wt in K - ary tree ; Return 0 if weight becomes less than zero ; Return one only if the current path has included edge weight of atleast M ; If the current edge weight is greater than or equal to M , set used as true ; Driver Code to test above function
",0
4,"declare findSize with integer N if N is 0, return 1
if N is 1 return 1
Size = 2 * findSize ( N / 2 ) + 1
return Size
return 0 if L is greater than R
if N = 1 return N
ret = integer with ret = 0
create integer M with M = N / 2
Siz_M = integer with Siz_M = findSize ( M)
if L = Siz_M, increment ret by CountOnes ( N / 2, L, min ( Siz_M, R ) )
if L = Siz_M + 1 and Siz_M + 1 = R, increment ret by N % 2
if Siz_M + 1 is less than R, increment ret by CountOnes ( N / 2, max ( 1, L - Siz_M - 1 ), R - Siz_M - 1 )
return ret
declare integer main ( ), integers N = 7, L = 2 and R = 5
print CountOnes ( N, L, R )
return 0
","Count 1 s present in a range of indices [ L , R ] in a given array | C ++ Program to implement the above approach ; Function to find the size of the array if the array initially contains a single element ; Base case ; P / 2 -> findSize ( N / 2 ) P % 2 -> 1 P / 2 -> findSize ( N / 2 ) ; Function to return the count of 1 s in the range [ L , R ] ; Base Case ; PART 1 -> N / 2 [ 1 , Siz_M ] ; Update the right end point of the range to min ( Siz_M , R ) ; PART 2 -> N % 2 [ SizM + 1 , Siz_M + 1 ] ; PART 3 -> N / 2 [ SizM + 2 , 2 * Siz_M - 1 ] Same as PART 1 Property of Symmetricity Shift the coordinates according to PART 1 Subtract ( Siz_M + 1 ) from both L , R ; Driver Code ; Input ; Counts the number of 1 's in  the range [L, R]
",1
5,"declare findSize with integer N if N is 0, return 1
if N is 1 return 1
Size = 2 * findSize ( N / 2 ) + 1
return Size
return 0 if L is greater than R
if N = 1 return N
ret = integer with ret = 0
create integer M with M = N / 2
Siz_M = integer with Siz_M = findSize ( M)
if L = Siz_M, increment ret by CountOnes ( N / 2, L, min ( Siz_M, R ) )
if L = Siz_M + 1 and Siz_M + 1 = R, increment ret by N % 2
if Siz_M + 1 is less than R, increment ret by CountOnes ( N / 2, max ( 1, L - Siz_M - 1 ), R - Siz_M - 1 )
return ret
declare integer main ( ), integers N = 7, L = 2 and R = 5
print CountOnes ( N, L, R )
return 0
","Count subarrays having sum modulo K same as the length of the subarray | C ++ program of the above approach ; Function that counts the subarrays s . t . sum of elements in the subarray modulo k is equal to size of subarray ; Stores the count of ( pref [ i ] - i ) % k ; Stores the count of subarray ; Stores prefix sum of the array ; Find prefix sum array ; Base Condition ; Remove the index at present after K indices from the current index ; Update the answer for subarrays ending at the i - th index ; Add the calculated value of current index to count ; Print the count of subarrays ; Driver Code ; Given arr [ ] ; Size of the array ; Given K ; Function Call
",0
6,"return false if n is 1
for i = 2 to i * i = n, return false if n modulo i is 0
return true
if prime ( n ) ), print 1 print "" "" print n - 1
else print if n modulo i is 0, print n / i print "" "" print n / i * ( i - 1)
break loop
declare integer variable N = 4
minDivisior ( N )
return 0
","Find the pair ( a , b ) with minimum LCM such that their sum is equal to N | C ++ program for the above approach ; Function to check if number is prime or not ; As 1 is neither prime nor composite return false ; Check if it is divided by any number then it is not prime , return false ; Check if n is not divided by any number then it is prime and hence return true ; Function to find the pair ( a , b ) such that sum is N & LCM is minimum ; Check if the number is prime ; Now , if it is not prime then find the least divisior ; Check if divides n then it is a factor ; Required output is a = n / i & b = n / i * ( n - 1 ) ; Driver Code ; Function call
",1
7,"return false if n is 1
for i = 2 to i * i = n, return false if n modulo i is 0
return true
if prime ( n ) ), print 1 print "" "" print n - 1
else print if n modulo i is 0, print n / i print "" "" print n / i * ( i - 1)
break loop
declare integer variable N = 4
minDivisior ( N )
return 0
","Count of subarrays having sum equal to its length | Set 2 | C ++ program for the above approach ; Function that counts the subarrays with sum of its elements as its length ; Store count of elements upto current element with length i ; Stores the final count of subarray ; Stores the prefix sum ; If size of subarray is 1 ; Iterate the array ; Find the sum ; Update frequency in map ; Print the total count ; Driver Code ; Given array arr [ ] ; Size of array ; Function Call
",0
8,"Landau = integer with Landau = INT_MIN
gcd = integer if a is equal to 0, return b
return gcd ( b modulo a, a )
lcm = integer, return ( a * b ) / gcd = a, b )
create void findLCM ( vector  int > & arr ), nth_lcm = arr [ 0 ]
for i = 1 to size of arr exclusive, set nth_lcm to lcm ( nth_lcm, arr [ i ] )
Landau = max ( Landau, nth_lcm )
void function findWays ( vector  int > & arr, int i, int n) if n is 0, findLCM (arr)
for j = i to n inclusive, push_back j is a new line
findWays = arr,j,n-j
pop_back is a new array of arr
declare Landau_function with integer n as argument, assign a vector to integers > arr
findWays = arr, 1, n
print Landau
declare integer main ( ) and integer N = 4
declare Landau_function with N elements
return 0
","Find Landau 's function for a given number N | C ++ program for the above approach ; To store Landau 's function of the number ; Function to return gcd of 2 numbers ; Function to return LCM of two numbers ; Function to find max lcm value among all representations of n ; Calculate Landau 's value ; Recursive function to find different ways in which n can be written as sum of atleast one positive integers ; Check if sum becomes n , consider this representation ; Start from previous element in the representation till n ; Include current element from representation ; Call function again with reduced sum ; Backtrack - remove current element from representation ; Function to find the Landau 's function ; Using recurrence find different ways in which n can be written as a sum of atleast one + ve integers ; Print the result ; Driver Code ; Given N ; Function Call
",1
9,"Landau = integer with Landau = INT_MIN
gcd = integer if a is equal to 0, return b
return gcd ( b modulo a, a )
lcm = integer, return ( a * b ) / gcd = a, b )
create void findLCM ( vector  int > & arr ), nth_lcm = arr [ 0 ]
for i = 1 to size of arr exclusive, set nth_lcm to lcm ( nth_lcm, arr [ i ] )
Landau = max ( Landau, nth_lcm )
void function findWays ( vector  int > & arr, int i, int n) if n is 0, findLCM (arr)
for j = i to n inclusive, push_back j is a new line
findWays = arr,j,n-j
pop_back is a new array of arr
declare Landau_function with integer n as argument, assign a vector to integers > arr
findWays = arr, 1, n
print Landau
declare integer main ( ) and integer N = 4
declare Landau_function with N elements
return 0
","Distance between two parallel Planes in 3 | C ++ program to find the Distance between two parallel Planes in 3 D . ; Function to find distance ; Driver Code
",0
10,"if n is 1 return true
if n = 3 return true
if n modulo 2 is 0 n modulo 3 is 0, return false
return false if n modulo i is 0 or n modulo ( i + 2 ) is 0
return true
print Yes
else print No
declare integer main ( ) and integer N = 3
checkExpression ( N )
return 0
","Check if the remainder of N | C ++ implementation to check the following expression for an integer N is valid or not ; Function to check if a number holds the condition ( N - 1 ) ! % N = N - 1 ; Corner cases ; Number divisible by 2 or 3 are not prime ; Iterate from 5 and keep checking for prime ; Function to check the expression for the value N ; Driver Program
",1
11,"if n is 1 return true
if n = 3 return true
if n modulo 2 is 0 n modulo 3 is 0, return false
return false if n modulo i is 0 or n modulo ( i + 2 ) is 0
return true
print Yes
else print No
declare integer main ( ) and integer N = 3
checkExpression ( N )
return 0
","Count occurrences of a character in a repeated string | CPP program to find the occurrences of character x in the infinite repeated string upto length n ; Function to count the character ' a ' ; atleast k repetition are required ; if n is not the multiple of the string size check for the remaining repeating character . ; Driver code
",0
12,"declare checkArray with integers n, k, arr, with arr = 0 and cnt = 0
for i = 0 to n exclusive, increment cnt by 1
if cnt >= k and cnt % 2 = k % 2, return true
else return false
declare integer main ( ) and integer arr [ ] =  1, 3, 4, 7, 5, 3, 1  ;
create integer n with n = sizeof ( arr ) / sizeof ( arr [ 0 ] )
create integer k with k = 4
if checkArray ( n, k, arr ) ) print Yes
else print No
return 0
","Check if it is possible to split given Array into K odd | C ++ implementation to check if it is possible to split array into K subsets with odd sum ; Function to check if array can be split in required K subsets ; Store count of odd numbers ; Check if element is odd ; Check if split is possible ; Driver Program
",1
13,"declare checkArray with integers n, k, arr, with arr = 0 and cnt = 0
for i = 0 to n exclusive, increment cnt by 1
if cnt >= k and cnt % 2 = k % 2, return true
else return false
declare integer main ( ) and integer arr [ ] =  1, 3, 4, 7, 5, 3, 1  ;
create integer n with n = sizeof ( arr ) / sizeof ( arr [ 0 ] )
create integer k with k = 4
if checkArray ( n, k, arr ) ) print Yes
else print No
return 0
","String containing first letter of every word in a given string with spaces | C ++ program to find the string which contain the first character of each word of another string . ; Function to find string which has first character of each word . ; Traverse the string . ; If it is space , set v as true . ; Else check if v is true or not . If true , copy character in output string and set v as false . ; Driver cpde
",0
